Category,Description,Material,MSRP,Name,Picture URL,Product Family
Running,"Care Instructions: Allow your pair of shoes to air and de-odorize at a regular basis, this also helps them retain their natural shape; use shoe bags to prevent any stains or mildew; dust any dry dirt from the surface using a clean cloth, do not use polish or shiner ",Synthetic,2500,ADIDAS X1,"https://assets.adidas.com/images/w_600,f_auto,q_auto:sensitive,fl_lossy/7ae26fca4b794fb086dba9c300cf5797_9366/U_Path_Run_Shoes_Black_G27636_04_standard.jpg",Adidas
Running,"Care Instructions: Allow your pair of shoes to air and de-odorize at a regular basis, this also helps them retain their natural shape; use shoe bags to prevent any stains or mildew; dust any dry dirt from the surface using a clean cloth, do not use polish or shiner ",Synthetic,2600,ADIDAS X2,"https://assets.adidas.com/images/w_600,f_auto,q_auto:sensitive,fl_lossy/7ed0855435194229a525aad6009a0497_9366/Superstar_Shoes_White_EG4958_01_standard.jpg",Adidas
Running,"Care Instructions: Allow your pair of shoes to air and de-odorize at a regular basis, this also helps them retain their natural shape; use shoe bags to prevent any stains or mildew; dust any dry dirt from the surface using a clean cloth, do not use polish or shiner ",Synthetic,2700,ADIDAS X3,"https://assets.adidas.com/images/w_600,f_auto,q_auto:sensitive,fl_lossy/8cb978de57934d0b9227aaea00df82c6_9366/Ultraboost_20_Shoes_Black_EG1341_01_standard.jpg",Adidas
Running,"Care Instructions: Allow your pair of shoes to air and de-odorize at a regular basis, this also helps them retain their natural shape; use shoe bags to prevent any stains or mildew; dust any dry dirt from the surface using a clean cloth, do not use polish or shiner ",Synthetic,2800,ADIDAS X4,https://www.shoecarnival.com/dw/image/v2/BBSZ_PRD/on/demandware.static/-/Sites-scvl-master-catalog/default/dw63f930e5/101397_199256_1.jpg?sw=1694&sh=1999&sm=fit,Adidas
Boot,"Care Instructions: Allow your pair of shoes to air and de-odorize at a regular basis, this also helps them retain their natural shape; use shoe bags to prevent any stains or mildew; dust any dry dirt from the surface using a clean cloth, do not use polish or shiner ",Leather,7000,WOODLAND X1,https://images-na.ssl-images-amazon.com/images/I/71pTqffvbCL._UX500_.jpg,Woodland
Boot,"Care Instructions: Allow your pair of shoes to air and de-odorize at a regular basis, this also helps them retain their natural shape; use shoe bags to prevent any stains or mildew; dust any dry dirt from the surface using a clean cloth, do not use polish or shiner ",Leather,7200,WOODLAND X2,https://5.imimg.com/data5/XJ/BB/MY-63879864/woodland-shoes-500x500.jpg,Woodland
Boot,"Care Instructions: Allow your pair of shoes to air and de-odorize at a regular basis, this also helps them retain their natural shape; use shoe bags to prevent any stains or mildew; dust any dry dirt from the surface using a clean cloth, do not use polish or shiner ",Leather,7400,WOODLAND X3,https://images-na.ssl-images-amazon.com/images/I/81f9Vk5IQLL._UL1500_.jpg,Woodland
Boot,"Care Instructions: Allow your pair of shoes to air and de-odorize at a regular basis, this also helps them retain their natural shape; use shoe bags to prevent any stains or mildew; dust any dry dirt from the surface using a clean cloth, do not use polish or shiner ",Leather,7800,WOODLAND X4,https://cdn.shopify.com/s/files/1/1407/1106/products/eight-eyelet-woodland-boot.jpg?v=1510140560,Woodland
Running,"Care Instructions: Allow your pair of shoes to air and de-odorize at a regular basis, this also helps them retain their natural shape; use shoe bags to prevent any stains or mildew; dust any dry dirt from the surface using a clean cloth, do not use polish or shiner ",Synthetic,4000,PUMA X1,https://dks.scene7.com/is/image/dkscdn/18PUMWDFYMDCRNVYPFTW_Black_Metallic_Gold_is?wid=685&fmt=jpg,Puma
Running,"Care Instructions: Allow your pair of shoes to air and de-odorize at a regular basis, this also helps them retain their natural shape; use shoe bags to prevent any stains or mildew; dust any dry dirt from the surface using a clean cloth, do not use polish or shiner ",Synthetic,4300,PUMA X2,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/192638/01/sv01/fnd/PNA/fmt/png/CELL-Phase-Mens-Training-Shoes",Puma
Running,"Care Instructions: Allow your pair of shoes to air and de-odorize at a regular basis, this also helps them retain their natural shape; use shoe bags to prevent any stains or mildew; dust any dry dirt from the surface using a clean cloth, do not use polish or shiner ",Synthetic,4600,PUMA X3,https://cdn02.plentymarkets.com/gesikq7l45vs/item/images/180171/middle/192581-01-1-PUMA-Schuhe-robuste-Herren-Outdoor-Laufschuhe-Axelion-Rip-Schwarz.jpg,Puma
Running,"Care Instructions: Allow your pair of shoes to air and de-odorize at a regular basis, this also helps them retain their natural shape; use shoe bags to prevent any stains or mildew; dust any dry dirt from the surface using a clean cloth, do not use polish or shiner ",Synthetic,4900,PUMA X4,"https://images.puma.net/images/306663/01/sv01/fnd/AUS/w/1000/h/1000/bg/255,255,255",Puma
Running,"Care Instructions: Allow your pair of shoes to air and de-odorize at a regular basis, this also helps them retain their natural shape; use shoe bags to prevent any stains or mildew; dust any dry dirt from the surface using a clean cloth, do not use polish or shiner ",Synthetic,1200,NIKE X1,https://www.shoecarnival.com/dw/image/v2/BBSZ_PRD/on/demandware.static/-/Sites-scvl-master-catalog/default/dw28895317/100579_197258_1.jpg?sw=1694&sh=1999&sm=fit,Nike
Running,"Care Instructions: Allow your pair of shoes to air and de-odorize at a regular basis, this also helps them retain their natural shape; use shoe bags to prevent any stains or mildew; dust any dry dirt from the surface using a clean cloth, do not use polish or shiner ",Synthetic,1400,NIKE X2,https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/i2uyvwsvaoqgubkghwos/air-huarache-mens-shoe-eoToq9X2.jpg,Nike
Running,"Care Instructions: Allow your pair of shoes to air and de-odorize at a regular basis, this also helps them retain their natural shape; use shoe bags to prevent any stains or mildew; dust any dry dirt from the surface using a clean cloth, do not use polish or shiner ",Synthetic,1800,NIKE X3,https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/lus8o0zccxhbxp30g43d/kyrie-6-basketball-shoe-KQmCXH.jpg,Nike
Running,"Care Instructions: Allow your pair of shoes to air and de-odorize at a regular basis, this also helps them retain their natural shape; use shoe bags to prevent any stains or mildew; dust any dry dirt from the surface using a clean cloth, do not use polish or shiner ",Synthetic,1900,NIKE X4,https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/u1pc2awdr0feaemheohp/zoom-pegasus-turbo-shield-running-shoe-7PchpQ.jpg,Nike
